scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
balance,150,multistation_rep,42,42,42,40,4,1440,638.475,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.783,0.7998,150,0.3702,0.624,1599,1466,1466,0.9168,0.9168,3.981,424.543,2712.795,1580.884,576.911,0.012,3289.718,1718.731,1.0,69.328,1466,886,282,3,283,11,1,0.6044,0.1924,0.002,0.193,0.6044,0.1999,0.1214,0.0744,174,0.291,6365,4899,0,0,3177,9542,0.1952,0.1113,53545,30644,0.4277,2079.078,14,1,True
balance,150,bramev,42,42,42,40,4,1440,641.723,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7831,0.8001,150,0.3749,0.582,1605,1465,1465,0.9128,0.9128,3.974,423.091,2710.537,1563.868,580.312,0.012,3290.861,1663.804,1.0,69.155,1465,885,282,3,284,11,0,0.6041,0.1925,0.002,0.1939,0.6041,0.2,0.1215,0.0744,175,0.278,6379,4914,0,0,3270,9649,0.1959,0.112,53535,30692,0.4267,2079.934,14,1,True
balance,200,greedy,42,42,42,40,4,1440,94.124,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.6992,0.7167,200,0.2841,21.792,2256,2137,2137,0.9473,0.9473,0.947,160.521,160.521,194.234,69.496,0.007,230.024,221.095,1.0,51.23,2137,1265,408,79,363,21,1,0.592,0.1909,0.037,0.1699,0.5924,0.2007,0.124,0.0828,186,4.824,2137,0,0,5,111,2248,0.2548,0.1431,69254,39048,0.4362,2714.558,22,0,True
balance,200,multistation,42,42,42,40,4,1440,2028.819,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.7751,0.7906,200,0.3179,1.284,1972,1965,1965,0.9965,0.9965,6.04,4135.744,15464.035,2321.929,2663.034,0.011,18127.08,2379.99,1.0,207.374,1965,1168,381,12,381,21,2,0.5944,0.1939,0.0061,0.1939,0.5949,0.2046,0.1216,0.0789,226,0.49,11910,9945,0,0,11,11921,0.2565,0.1435,71192,39853,0.4402,2764.808,22,1,True
balance,200,multistation_rep,42,42,42,40,4,1440,1996.495,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.7749,0.7933,200,0.3792,1.596,2249,1969,1969,0.8755,0.8755,3.824,4207.097,15293.397,1925.139,2705.291,0.011,17998.7,2037.776,1.0,190.235,1969,1170,385,12,387,14,1,0.5942,0.1955,0.0061,0.1965,0.5947,0.2026,0.1229,0.0797,230,0.549,8601,6632,0,0,4795,13396,0.2599,0.1451,71680,40102,0.4405,2791.06,20,1,True
balance,200,bramev,42,42,42,40,4,1440,1995.4,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.775,0.7925,200,0.3816,1.314,2265,1961,1961,0.8658,0.8658,3.738,4218.199,15351.211,1997.959,2713.951,0.011,18065.173,2193.724,1.0,182.77,1961,1164,382,6,391,16,2,0.5936,0.1948,0.0031,0.1994,0.5941,0.203,0.1224,0.0806,234,0.525,8466,6505,0,0,5072,13538,0.2569,0.1441,71202,39808,0.4409,2775.781,22,1,True
balance,250,greedy,42,42,42,40,4,1440,106.028,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.6427,0.66,250,0.2838,37.272,3149,2851,2851,0.9054,0.9054,0.905,149.422,149.422,204.404,91.211,0.007,240.64,265.752,1.0,49.049,2851,1705,553,145,421,22,5,0.598,0.194,0.0509,0.1477,0.5994,0.2017,0.1193,0.0796,195,7.967,2851,0,0,8,283,3134,0.3078,0.1759,83781,47793,0.4295,3273.533,23,0,True
balance,250,multistation,42,42,42,40,4,1440,4918.64,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.7806,0.7964,250,0.3366,1.962,2461,2452,2452,0.9963,0.9963,6.062,10385.206,49819.715,2454.335,5375.178,0.011,55194.903,2645.336,1.0,368.992,2452,1469,471,24,462,24,2,0.5991,0.1921,0.0098,0.1884,0.5999,0.2019,0.1183,0.0799,266,0.699,14918,12466,0,1,25,14943,0.3193,0.1814,88555,50406,0.4308,3455.657,24,1,True
balance,250,multistation_rep,42,42,42,40,4,1440,4841.927,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.7774,0.7979,250,0.3952,2.526,2728,2432,2432,0.8915,0.8915,3.838,10535.933,50029.837,1871.115,5461.146,0.011,55490.994,1986.866,1.0,336.296,2432,1458,471,23,457,22,1,0.5995,0.1937,0.0095,0.1879,0.5999,0.2027,0.1184,0.0789,265,0.754,10471,8039,0,1,5733,16204,0.3203,0.1817,88431,50104,0.4334,3451.25,25,1,True
balance,250,bramev,42,42,42,40,4,1440,4941.049,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7809,0.8003,250,0.4015,1.824,2718,2435,2435,0.8959,0.8959,3.89,10537.395,50793.459,2343.456,5482.591,0.012,56276.062,2589.451,1.0,344.69,2435,1457,469,20,467,20,2,0.5984,0.1926,0.0082,0.1918,0.5992,0.2008,0.1191,0.0809,270,0.648,10573,8138,0,1,5758,16331,0.3209,0.1808,88588,50142,0.434,3461.132,24,1,True
pessimistic,50,greedy,42,42,42,40,4,1440,32.05,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.795,0.8095,50,0.286,0.876,685,681,681,0.9942,0.9942,0.994,61.455,61.455,155.975,12.043,0.01,73.508,194.504,1.0,48.478,681,300,139,5,233,4,0,0.4405,0.2041,0.0073,0.3421,0.4405,0.21,0.1424,0.207,92,0.275,681,0,0,0,0,681,0.0941,0.0394,25459,10791,0.5761,963.175,4,1,True
pessimistic,50,multistation,42,42,42,40,4,1440,205.027,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.7959,0.8104,50,0.2879,0.0,680,676,676,0.9941,0.9941,5.974,75.894,477.742,1223.132,22.452,0.014,500.209,1272.542,1.0,52.429,676,297,137,0,237,5,0,0.4393,0.2027,,0.3506,0.4393,0.2101,0.1435,0.2071,97,0.09,4062,3386,0,0,0,4062,0.0932,0.0388,25387,10692,0.5788,961.918,5,2,True
pessimistic,50,multistation_rep,42,42,42,40,4,1440,202.144,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.702,0.7151,50,0.4369,0.066,1389,567,567,0.4082,0.4082,1.482,127.318,400.059,1053.866,48.123,0.018,448.2,1171.869,1.0,29.294,567,249,118,0,196,4,0,0.4392,0.2081,,0.3457,0.4392,0.2152,0.1411,0.2046,80,0.065,2058,1491,0,0,5798,7856,0.0777,0.032,21224,8784,0.5861,794.024,16,2,True
pessimistic,50,bramev,42,42,42,40,4,1440,203.845,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7012,0.7142,50,0.4349,0.066,1430,565,565,0.3951,0.3951,1.431,129.318,404.284,1070.696,49.765,0.017,454.067,1171.994,1.0,28.474,565,249,117,0,196,3,0,0.4407,0.2071,,0.3469,0.4407,0.2124,0.1416,0.2053,80,0.076,2046,1481,0,0,6059,8105,0.0775,0.0321,21179,8793,0.5848,794.35,16,2,True
pessimistic,100,greedy,42,42,42,40,4,1440,58.602,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.7383,0.7515,100,0.2825,6.81,1332,1318,1318,0.9895,0.9895,0.989,69.193,69.193,189.407,20.093,0.01,89.296,221.277,1.0,53.38,1318,554,286,27,434,17,0,0.4203,0.217,0.0205,0.3293,0.4203,0.2299,0.1426,0.2071,161,1.68,1318,0,0,2,9,1327,0.1776,0.0717,48132,19558,0.5937,1781.886,17,0,True
pessimistic,100,multistation,42,42,42,40,4,1440,452.763,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.762,0.7749,100,0.3082,0.318,1293,1288,1288,0.9961,0.9961,5.899,96.888,857.437,1675.657,170.171,0.015,1027.624,1809.58,1.0,62.128,1288,542,274,1,454,17,0,0.4208,0.2127,0.0008,0.3525,0.4208,0.2259,0.1444,0.2089,185,0.225,7628,6340,0,0,7,7635,0.1763,0.0699,48512,19490,0.5982,1800.667,17,1,True
