kind,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_worlds,mean_value_from,mean_value_to,mean_delta,mean_delta_pct,nb_improved,share_improved
baseline,nb_station_level_rejections,Rejected demands,down,,0,Minimum Waiting Time,min_waiting,bramev,3,199.333333,286.333333,87.0,57.1585,0,0.0
baseline,station_rejection_rate,Station rejection rate,down,%,0,Minimum Waiting Time,min_waiting,bramev,3,0.169333,0.222667,0.053333,45.528,0,0.0
baseline,total_ms_mean,End-to-end latency,down,ms,0,Minimum Waiting Time,min_waiting,bramev,3,528.999333,513.328667,-15.670667,-0.1046,2,0.6667
baseline,wall_time_s,Wall time,down,s,0,Minimum Waiting Time,min_waiting,bramev,3,44.376667,43.955333,-0.421333,0.5664,2,0.6667
variant,exact_satisfaction,Exact satisfaction,up,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.751467,0.656867,-0.0946,-12.586,0,0.0
variant,needs_satisfaction,Needs satisfied,up,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.763967,0.674467,-0.0895,-11.707,0,0.0
variant,confirm_rate,Confirmation rate,up,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.980667,0.9756,-0.005067,-0.5173,0,0.0
variant,mean_waiting_time_min,Mean waiting time,down,min,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,21.026,43.312,22.286,133.4321,0,0.0
variant,mean_travel_distance_km,Mean distance,down,km,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.720633,0.7156,-0.005033,-0.5481,2,0.6667
variant,rate_pres,Show-up rate,up,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.412233,0.409067,-0.003167,-0.7864,1,0.3333
variant,rate_abs,No-show rate,down,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.2196,0.2223,0.0027,1.3313,1,0.3333
variant,nb_no_show,No-shows,down,,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,94.666667,104.666667,10.0,10.7199,0,0.0
variant,nb_reservations,Confirmed reservations,up,,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,431.666667,471.666667,40.0,9.2716,3,1.0
variant,mean_occupancy_rate,Occupancy rate,up,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.826033,0.756833,-0.0692,-8.2915,0,0.0
variant,mean_service_rate,Service rate,up,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.340767,0.307833,-0.032933,-9.6062,0,0.0
variant,slot_waste_rate,Wasted reserved slots,down,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.5893,0.5931,0.0038,0.6467,1,0.3333
variant,no_offer_rate,Demands with no offer,down,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.019333,0.0244,0.005067,30.4045,0,0.0
variant,abandon_rate,Abandoned searches,down,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.0149,0.014233,-0.000667,-1.5552,2,0.6667
variant,request_rejection_rate,Unserved demands,down,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.019333,0.0244,0.005067,30.4045,0,0.0
variant,nb_station_level_rejections,Rejected demands,down,,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,286.333333,371.333333,85.0,41.327,0,0.0
variant,station_rejection_rate,Station rejection rate,down,%,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,0.222667,0.254,0.031333,23.7326,0,0.0
variant,total_ms_mean,End-to-end latency,down,ms,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,513.328667,540.888,27.559333,3.9692,1,0.3333
variant,wall_time_s,Wall time,down,s,0,Multi-criteria utility,bramev,bramev_nearest_offer,3,43.955333,50.622333,6.667,14.582,0,0.0
baseline,exact_satisfaction,Exact satisfaction,up,%,0,Nearest Available,nearest_available,bramev,3,0.6547,0.751467,0.096767,14.7912,3,1.0
baseline,needs_satisfaction,Needs satisfied,up,%,0,Nearest Available,nearest_available,bramev,3,0.6712,0.763967,0.092767,13.8345,3,1.0
baseline,confirm_rate,Confirmation rate,up,%,0,Nearest Available,nearest_available,bramev,3,0.976,0.980667,0.004667,0.4769,2,0.6667
baseline,mean_waiting_time_min,Mean waiting time,down,min,0,Nearest Available,nearest_available,bramev,3,42.3,21.026,-21.274,-52.8611,3,1.0
baseline,mean_travel_distance_km,Mean distance,down,km,0,Nearest Available,nearest_available,bramev,3,0.725533,0.720633,-0.0049,-0.8656,1,0.3333
baseline,rate_pres,Show-up rate,up,%,0,Nearest Available,nearest_available,bramev,3,0.4122,0.412233,3.3e-05,0.0203,1,0.3333
baseline,rate_abs,No-show rate,down,%,0,Nearest Available,nearest_available,bramev,3,0.2165,0.2196,0.0031,1.3616,0,0.0
baseline,nb_no_show,No-shows,down,,0,Nearest Available,nearest_available,bramev,3,102.0,94.666667,-7.333333,-7.2677,3,1.0
baseline,nb_reservations,Confirmed reservations,up,,0,Nearest Available,nearest_available,bramev,3,472.0,431.666667,-40.333333,-8.5271,0,0.0
baseline,mean_occupancy_rate,Occupancy rate,up,%,0,Nearest Available,nearest_available,bramev,3,0.752633,0.826033,0.0734,9.7441,3,1.0
baseline,mean_service_rate,Service rate,up,%,0,Nearest Available,nearest_available,bramev,3,0.306267,0.340767,0.0345,11.2311,3,1.0
baseline,slot_waste_rate,Wasted reserved slots,down,%,0,Nearest Available,nearest_available,bramev,3,0.5925,0.5893,-0.0032,-0.5364,2,0.6667
baseline,no_offer_rate,Demands with no offer,down,%,0,Nearest Available,nearest_available,bramev,3,0.024,0.019333,-0.004667,-21.8816,2,0.6667
baseline,abandon_rate,Abandoned searches,down,%,0,Nearest Available,nearest_available,bramev,3,0.0143,0.0149,0.0006,2.3131,1,0.3333
baseline,request_rejection_rate,Unserved demands,down,%,0,Nearest Available,nearest_available,bramev,3,0.024,0.019333,-0.004667,-21.8816,2,0.6667
baseline,nb_station_level_rejections,Rejected demands,down,,0,Nearest Available,nearest_available,bramev,3,377.333333,286.333333,-91.0,-24.5351,3,1.0
baseline,station_rejection_rate,Station rejection rate,down,%,0,Nearest Available,nearest_available,bramev,3,0.2508,0.222667,-0.028133,-13.7138,3,1.0
baseline,total_ms_mean,End-to-end latency,down,ms,0,Nearest Available,nearest_available,bramev,3,501.823,513.328667,11.505667,2.7558,0,0.0
baseline,wall_time_s,Wall time,down,s,0,Nearest Available,nearest_available,bramev,3,46.674333,43.955333,-2.719,-4.4515,2,0.6667
variant,exact_satisfaction,Exact satisfaction,up,%,0,Per-company reputation,bramev,bramev_global_rep,3,0.751467,0.754967,0.0035,0.414,2,0.6667
variant,needs_satisfaction,Needs satisfied,up,%,0,Per-company reputation,bramev,bramev_global_rep,3,0.763967,0.767933,0.003967,0.4795,2,0.6667
variant,confirm_rate,Confirmation rate,up,%,0,Per-company reputation,bramev,bramev_global_rep,3,0.980667,0.987367,0.0067,0.6845,3,1.0
variant,mean_waiting_time_min,Mean waiting time,down,min,0,Per-company reputation,bramev,bramev_global_rep,3,21.026,20.772,-0.254,-1.3344,2,0.6667
variant,mean_travel_distance_km,Mean distance,down,km,0,Per-company reputation,bramev,bramev_global_rep,3,0.720633,0.742267,0.021633,3.0355,0,0.0
variant,rate_pres,Show-up rate,up,%,0,Per-company reputation,bramev,bramev_global_rep,3,0.412233,0.413267,0.001033,0.2604,2,0.6667
variant,rate_abs,No-show rate,down,%,0,Per-company reputation,bramev,bramev_global_rep,3,0.2196,0.219833,0.000233,0.1468,1,0.3333
variant,nb_no_show,No-shows,down,,0,Per-company reputation,bramev,bramev_global_rep,3,94.666667,94.666667,0.0,0.0472,1,0.3333
variant,nb_reservations,Confirmed reservations,up,,0,Per-company reputation,bramev,bramev_global_rep,3,431.666667,431.333333,-0.333333,-0.1206,1,0.3333
variant,mean_occupancy_rate,Occupancy rate,up,%,0,Per-company reputation,bramev,bramev_global_rep,3,0.826033,0.827233,0.0012,0.143,2,0.6667
variant,mean_service_rate,Service rate,up,%,0,Per-company reputation,bramev,bramev_global_rep,3,0.340767,0.339233,-0.001533,-0.4518,1,0.3333
variant,slot_waste_rate,Wasted reserved slots,down,%,0,Per-company reputation,bramev,bramev_global_rep,3,0.5893,0.590067,0.000767,0.1297,1,0.3333
variant,no_offer_rate,Demands with no offer,down,%,0,Per-company reputation,bramev,bramev_global_rep,3,0.019333,0.012633,-0.0067,-36.6528,3,1.0
