kind,scenario,nb_cars,world_seed,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,pessimistic,150,2,rate_abs,No-show rate,down,%,2,Reputation,multistation,multistation_rep,0.2494,0.2451,-0.0043,-1.7241,True
ladder,pessimistic,150,2,nb_no_show,No-shows,down,,2,Reputation,multistation,multistation_rep,103.0,101.0,-2.0,-1.9417,True
ladder,pessimistic,150,2,nb_reservations,Confirmed reservations,up,,2,Reputation,multistation,multistation_rep,413.0,412.0,-1.0,-0.2421,False
ladder,pessimistic,150,2,mean_occupancy_rate,Occupancy rate,up,%,2,Reputation,multistation,multistation_rep,0.807,0.7943,-0.0127,-1.5737,False
ladder,pessimistic,150,2,mean_service_rate,Service rate,up,%,2,Reputation,multistation,multistation_rep,0.3251,0.3285,0.0034,1.0458,True
ladder,pessimistic,150,2,slot_waste_rate,Wasted reserved slots,down,%,2,Reputation,multistation,multistation_rep,0.592,0.5841,-0.0079,-1.3345,True
ladder,pessimistic,150,2,no_offer_rate,Demands with no offer,down,%,2,Reputation,multistation,multistation_rep,0.0167,0.0144,-0.0023,-13.7725,True
ladder,pessimistic,150,2,abandon_rate,Abandoned searches,down,%,2,Reputation,multistation,multistation_rep,0.0095,0.0096,0.0001,1.0526,False
ladder,pessimistic,150,2,request_rejection_rate,Unserved demands,down,%,2,Reputation,multistation,multistation_rep,0.0167,0.0144,-0.0023,-13.7725,True
ladder,pessimistic,150,2,nb_station_level_rejections,Rejected demands,down,,2,Reputation,multistation,multistation_rep,205.0,187.0,-18.0,-8.7805,True
ladder,pessimistic,150,2,station_rejection_rate,Station rejection rate,down,%,2,Reputation,multistation,multistation_rep,0.1721,0.1629,-0.0092,-5.3457,True
ladder,pessimistic,150,2,total_ms_mean,End-to-end latency,down,ms,2,Reputation,multistation,multistation_rep,655.571,660.593,5.022,0.766,False
ladder,pessimistic,150,2,wall_time_s,Wall time,down,s,2,Reputation,multistation,multistation_rep,48.756,48.85,0.094,0.1928,False
ladder,pessimistic,150,2,exact_satisfaction,Exact satisfaction,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.7791,0.778,-0.0011,-0.1412,False
ladder,pessimistic,150,2,needs_satisfaction,Needs satisfied,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.7924,0.7916,-0.0008,-0.101,False
ladder,pessimistic,150,2,confirm_rate,Confirmation rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.9856,0.9882,0.0026,0.2638,True
