kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_pairs,seeds,mean_value_from,mean_value_to,mean_delta,sd_delta,sem_delta,ci95_low,ci95_high,mean_delta_pct,t_stat,p_value,significant_95,nb_improved,share_improved,verdict
ladder,pessimistic,150,mean_travel_distance_km,Mean distance,down,km,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.7332,0.720633,-0.012567,0.019069,0.01101,-0.059938,0.034804,-1.6901,-1.1414,0.371941,False,2,0.6667,ns
ladder,pessimistic,150,rate_pres,Show-up rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.412867,0.412233,-0.000633,0.0046,0.002656,-0.012061,0.010795,-0.143,-0.2385,0.833736,False,2,0.6667,ns
ladder,pessimistic,150,rate_abs,No-show rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.219067,0.2196,0.000533,0.000681,0.000393,-0.001158,0.002224,0.2241,1.3571,0.307612,False,0,0.0,ns
ladder,pessimistic,150,nb_no_show,No-shows,down,,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,94.0,94.666667,0.666667,1.527525,0.881917,-3.127916,4.46125,0.6233,0.7559,0.528595,False,1,0.3333,ns
ladder,pessimistic,150,nb_reservations,Confirmed reservations,up,,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,430.0,431.666667,1.666667,5.859465,3.382964,-12.889052,16.222385,0.3939,0.4927,0.671024,False,2,0.6667,ns
ladder,pessimistic,150,mean_occupancy_rate,Occupancy rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.8235,0.826033,0.002533,0.016637,0.009606,-0.038796,0.043863,0.3834,0.2637,0.816672,False,2,0.6667,ns
ladder,pessimistic,150,mean_service_rate,Service rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.3423,0.340767,-0.001533,0.006475,0.003738,-0.017618,0.014551,-0.4392,-0.4102,0.721442,False,1,0.3333,ns
ladder,pessimistic,150,slot_waste_rate,Wasted reserved slots,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.584933,0.5893,0.004367,0.008056,0.004651,-0.015646,0.02438,0.7603,0.9388,0.446932,False,1,0.3333,ns
ladder,pessimistic,150,no_offer_rate,Demands with no offer,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.014467,0.019333,0.004867,0.007551,0.00436,-0.013892,0.023625,31.4142,1.1163,0.380432,False,1,0.3333,ns
ladder,pessimistic,150,abandon_rate,Abandoned searches,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.009067,0.0149,0.005833,0.003213,0.001855,-0.002148,0.013815,127.171,3.1446,0.087985,False,0,0.0,ns
ladder,pessimistic,150,request_rejection_rate,Unserved demands,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.014467,0.019333,0.004867,0.007551,0.00436,-0.013892,0.023625,31.4142,1.1163,0.380432,False,1,0.3333,ns
ladder,pessimistic,150,nb_station_level_rejections,Rejected demands,down,,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,216.333333,286.333333,70.0,43.714986,25.238859,-38.594045,178.594045,43.0165,2.7735,0.109129,False,0,0.0,ns
ladder,pessimistic,150,station_rejection_rate,Station rejection rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,0.1804,0.222667,0.042267,0.023924,0.013813,-0.017165,0.101698,35.2196,3.06,0.092257,False,0,0.0,ns
ladder,pessimistic,150,total_ms_mean,End-to-end latency,down,ms,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,516.426,513.328667,-3.097333,30.193599,17.432283,-78.102391,71.907725,-0.7798,-0.1777,0.875343,False,2,0.6667,ns
ladder,pessimistic,150,wall_time_s,Wall time,down,s,3,Cross-station adaptation,multistation_rep,bramev,3,1|2|3,44.224667,43.955333,-0.269333,2.075174,1.198102,-5.424351,4.885684,-1.0674,-0.2248,0.843013,False,2,0.6667,ns
variant,pessimistic,150,exact_satisfaction,Exact satisfaction,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.751467,0.7477,-0.003767,0.007504,0.004332,-0.022407,0.014873,-0.5637,-0.8695,0.476262,False,1,0.3333,ns
variant,pessimistic,150,needs_satisfaction,Needs satisfied,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.763967,0.760967,-0.003,0.006391,0.00369,-0.018875,0.012875,-0.4411,-0.8131,0.501567,False,1,0.3333,ns
variant,pessimistic,150,confirm_rate,Confirmation rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.980667,0.9832,0.002533,0.010661,0.006155,-0.02395,0.029016,0.264,0.4116,0.720558,False,2,0.6667,ns
variant,pessimistic,150,mean_waiting_time_min,Mean waiting time,down,min,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,21.026,21.086,0.06,1.07539,0.620877,-2.611417,2.731417,-0.9736,0.0966,0.931826,False,1,0.3333,ns
variant,pessimistic,150,mean_travel_distance_km,Mean distance,down,km,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.720633,0.7404,0.019767,0.012108,0.006991,-0.010311,0.049845,2.8412,2.8276,0.105623,False,0,0.0,ns
variant,pessimistic,150,rate_pres,Show-up rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.412233,0.412033,-0.0002,0.004504,0.002601,-0.01139,0.01099,-0.0533,-0.0769,0.945701,False,1,0.3333,ns
variant,pessimistic,150,rate_abs,No-show rate,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.2196,0.222533,0.002933,0.001779,0.001027,-0.001485,0.007352,1.2998,2.8566,0.103812,False,0,0.0,ns
variant,pessimistic,150,nb_no_show,No-shows,down,,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,94.666667,95.0,0.333333,0.57735,0.333333,-1.100884,1.767551,0.3472,1.0,0.42265,False,0,0.0,ns
variant,pessimistic,150,nb_reservations,Confirmed reservations,up,,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,431.666667,427.666667,-4.0,2.645751,1.527525,-10.572411,2.572411,-0.9362,-2.6186,0.120117,False,0,0.0,ns
variant,pessimistic,150,mean_occupancy_rate,Occupancy rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.826033,0.822567,-0.003467,0.007553,0.004361,-0.022229,0.015295,-0.441,-0.795,0.509968,False,1,0.3333,ns
variant,pessimistic,150,mean_service_rate,Service rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.340767,0.3396,-0.001167,0.003204,0.00185,-0.009125,0.006792,-0.3321,-0.6308,0.592665,False,1,0.3333,ns
variant,pessimistic,150,slot_waste_rate,Wasted reserved slots,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.5893,0.587433,-0.001867,0.00365,0.002107,-0.010934,0.007201,-0.3173,-0.8858,0.469188,False,2,0.6667,ns
