kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
variant,balance,150,mean_service_rate,Taux de service,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.112,0.1108,-0.0012,-1.0714,False
variant,balance,150,slot_waste_rate,Slots réservés perdus,down,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.4267,0.4285,0.0018,0.4218,False
variant,balance,150,nb_rejected_request,Demandes rejetées,down,,0,Utilité multicritère,bramev,bramev_nearest_offer,3270.0,3086.0,-184.0,-5.6269,True
variant,balance,150,total_ms_mean,Latence bout-en-bout,down,ms,0,Utilité multicritère,bramev,bramev_nearest_offer,3266.866,3223.517,-43.349,-1.3269,True
variant,balance,150,wall_time_s,Temps de calcul,down,s,0,Utilité multicritère,bramev,bramev_nearest_offer,638.389,630.787,-7.602,-1.1908,True
variant,balance,150,exact_satisfaction,Satisfaction exacte,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.7831,0.782,-0.0011,-0.1405,False
variant,balance,150,needs_satisfaction,Besoins satisfaits,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.8001,0.7982,-0.0019,-0.2375,False
variant,balance,150,confirm_rate,Taux de confirmation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.9128,0.89,-0.0228,-2.4978,False
variant,balance,150,mean_waiting_time_min,Attente moyenne,down,min,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.582,0.492,-0.09,-15.4639,True
variant,balance,150,mean_travel_distance_km,Distance moyenne,down,km,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.3749,0.3702,-0.0047,-1.2537,True
variant,balance,150,rate_pres,Taux de présentation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.6041,0.6031,-0.001,-0.1655,False
variant,balance,150,rate_abs,Taux de no-show,down,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.1925,0.1933,0.0008,0.4156,False
variant,balance,150,nb_no_show,No-shows,down,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,282.0,283.0,1.0,0.3546,False
variant,balance,150,nb_reservations,Réservations confirmées,up,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,1465.0,1464.0,-1.0,-0.0683,False
variant,balance,150,mean_occupancy_rate,Taux d'occupation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.1959,0.1952,-0.0007,-0.3573,False
variant,balance,150,mean_service_rate,Taux de service,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.112,0.1118,-0.0002,-0.1786,False
variant,balance,150,slot_waste_rate,Slots réservés perdus,down,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.4267,0.4274,0.0007,0.164,False
variant,balance,150,nb_rejected_request,Demandes rejetées,down,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,3270.0,3537.0,267.0,8.1651,False
variant,balance,150,total_ms_mean,Latence bout-en-bout,down,ms,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,3266.866,3276.672,9.806,0.3002,False
variant,balance,150,wall_time_s,Temps de calcul,down,s,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,638.389,633.835,-4.554,-0.7134,True
variant,balance,150,exact_satisfaction,Satisfaction exacte,up,%,0,Réputation par société,bramev,bramev_global_rep,0.7831,0.5005,-0.2826,-36.0873,False
variant,balance,150,needs_satisfaction,Besoins satisfaits,up,%,0,Réputation par société,bramev,bramev_global_rep,0.8001,0.512,-0.2881,-36.008,False
variant,balance,150,confirm_rate,Taux de confirmation,up,%,0,Réputation par société,bramev,bramev_global_rep,0.9128,0.097,-0.8158,-89.3734,False
variant,balance,150,mean_waiting_time_min,Attente moyenne,down,min,0,Réputation par société,bramev,bramev_global_rep,0.582,0.252,-0.33,-56.701,True
variant,balance,150,mean_travel_distance_km,Distance moyenne,down,km,0,Réputation par société,bramev,bramev_global_rep,0.3749,0.2947,-0.0802,-21.3924,True
variant,balance,150,rate_pres,Taux de présentation,up,%,0,Réputation par société,bramev,bramev_global_rep,0.6041,0.6141,0.01,1.6554,True
variant,balance,150,rate_abs,Taux de no-show,down,%,0,Réputation par société,bramev,bramev_global_rep,0.1925,0.2059,0.0134,6.961,False
variant,balance,150,nb_no_show,No-shows,down,,0,Réputation par société,bramev,bramev_global_rep,282.0,167.0,-115.0,-40.7801,True
variant,balance,150,nb_reservations,Réservations confirmées,up,,0,Réputation par société,bramev,bramev_global_rep,1465.0,811.0,-654.0,-44.6416,False
variant,balance,150,mean_occupancy_rate,Taux d'occupation,up,%,0,Réputation par société,bramev,bramev_global_rep,0.1959,0.1069,-0.089,-45.4313,False
variant,balance,150,mean_service_rate,Taux de service,up,%,0,Réputation par société,bramev,bramev_global_rep,0.112,0.062,-0.05,-44.6429,False
variant,balance,150,slot_waste_rate,Slots réservés perdus,down,%,0,Réputation par société,bramev,bramev_global_rep,0.4267,0.4194,-0.0073,-1.7108,True
variant,balance,150,nb_rejected_request,Demandes rejetées,down,,0,Réputation par société,bramev,bramev_global_rep,3270.0,43223.0,39953.0,1221.8043,False
variant,balance,150,total_ms_mean,Latence bout-en-bout,down,ms,0,Réputation par société,bramev,bramev_global_rep,3266.866,5822.17,2555.304,78.2188,False
variant,balance,150,wall_time_s,Temps de calcul,down,s,0,Réputation par société,bramev,bramev_global_rep,638.389,915.026,276.637,43.3336,False
variant,balance,150,exact_satisfaction,Satisfaction exacte,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.7831,0.7851,0.002,0.2554,True
variant,balance,150,needs_satisfaction,Besoins satisfaits,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.8001,0.8015,0.0014,0.175,True
variant,balance,150,confirm_rate,Taux de confirmation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.9128,0.9912,0.0784,8.589,True
variant,balance,150,mean_waiting_time_min,Attente moyenne,down,min,0,Score proportionnel à la durée,bramev,bramev_event_score,0.582,0.396,-0.186,-31.9588,True
variant,balance,150,mean_travel_distance_km,Distance moyenne,down,km,0,Score proportionnel à la durée,bramev,bramev_event_score,0.3749,0.3331,-0.0418,-11.1496,True
variant,balance,150,rate_pres,Taux de présentation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.6041,0.6038,-0.0003,-0.0497,False
variant,balance,150,rate_abs,Taux de no-show,down,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.1925,0.1926,0.0001,0.0519,False
variant,balance,150,nb_no_show,No-shows,down,,0,Score proportionnel à la durée,bramev,bramev_event_score,282.0,282.0,0.0,0.0,False
variant,balance,150,nb_reservations,Réservations confirmées,up,,0,Score proportionnel à la durée,bramev,bramev_event_score,1465.0,1464.0,-1.0,-0.0683,False
