scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
balance,100,bramev_nearest_offer,42,42,42,40,4,1440,332.754,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.7766,0.7962,100,0.3709,1.254,1097,974,974,0.8879,0.8879,3.905,127.704,793.342,1442.121,217.772,0.012,1011.127,1547.053,1.0,53.321,974,590,181,3,193,6,1,0.6057,0.1858,0.0031,0.1982,0.6068,0.192,0.1222,0.0791,116,0.396,4284,3310,0,0,2306,6590,0.133,0.0755,36138,20631,0.4291,1379.983,10,1,True
balance,100,bramev_fixed_alpha,42,42,42,40,4,1440,337.629,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.779,0.796,100,0.3797,0.33,1102,974,974,0.8838,0.8838,3.92,128.749,798.02,1378.835,216.465,0.013,1014.498,1477.908,1.0,53.066,974,591,180,0,196,7,0,0.6068,0.1848,,0.2012,0.6068,0.192,0.1222,0.0791,119,0.162,4320,3346,0,0,2359,6679,0.1342,0.0762,36351,20683,0.431,1385.341,10,2,True
balance,100,bramev_global_rep,42,42,42,40,4,1440,550.672,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.5028,0.5142,100,0.2907,0.024,5905,530,530,0.0898,0.0898,0.562,131.105,1393.629,1768.028,355.181,0.017,1748.827,1891.758,1.0,33.541,530,331,100,0,98,1,0,0.6245,0.1887,,0.1849,0.6245,0.1906,0.1208,0.0642,64,0.1,3316,2786,0,0,30496,33812,0.0703,0.0418,19235,11388,0.408,752.977,51,2,True
balance,100,bramev_event_score,42,42,42,40,4,1440,351.498,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.7814,0.7982,100,0.3216,0.174,980,972,972,0.9918,0.9918,5.484,100.529,837.737,1395.463,204.638,0.012,1042.387,1513.409,1.0,58.925,972,590,179,0,194,9,0,0.607,0.1842,,0.1996,0.607,0.1934,0.1224,0.0772,119,0.141,5374,4402,0,0,713,6087,0.1333,0.0759,36475,20785,0.4302,1385.688,10,2,True
balance,150,bramev,42,42,42,40,4,1440,638.389,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7831,0.8001,150,0.3749,0.582,1605,1465,1465,0.9128,0.9128,3.974,420.211,2690.851,1554.604,576.003,0.011,3266.866,1651.979,1.0,68.812,1465,885,282,3,284,11,0,0.6041,0.1925,0.002,0.1939,0.6041,0.2,0.1215,0.0744,175,0.278,6379,4914,0,0,3270,9649,0.1959,0.112,53535,30692,0.4267,2079.934,14,1,True
balance,150,bramev_nearest_offer,42,42,42,40,4,1440,630.787,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.7687,0.791,150,0.368,4.182,1586,1476,1476,0.9306,0.9306,4.02,407.971,2656.212,1488.251,567.293,0.012,3223.517,1674.53,1.0,68.646,1476,892,283,14,273,13,1,0.6043,0.1917,0.0095,0.185,0.605,0.2005,0.1199,0.0745,163,1.005,6376,4900,0,0,3086,9462,0.1954,0.1108,53010,30296,0.4285,2054.976,15,0,True
balance,150,bramev_fixed_alpha,42,42,42,40,4,1440,633.835,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.782,0.7982,150,0.3702,0.492,1645,1464,1464,0.89,0.89,3.817,424.763,2699.047,1540.656,577.614,0.012,3276.672,1697.451,1.0,67.356,1464,883,283,4,282,10,2,0.6031,0.1933,0.0027,0.1926,0.6038,0.2001,0.1216,0.0745,173,0.257,6279,4815,0,0,3537,9816,0.1952,0.1118,53503,30638,0.4274,2077.004,14,1,True
balance,150,bramev_global_rep,42,42,42,40,4,1440,915.026,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.5005,0.512,150,0.2947,0.252,8359,811,811,0.097,0.097,0.582,638.349,4845.656,2352.848,976.497,0.017,5822.17,2467.631,1.0,44.686,811,498,167,0,144,2,0,0.6141,0.2059,,0.1776,0.6141,0.2084,0.1159,0.0617,94,0.192,4866,4055,0,0,43223,48089,0.1069,0.062,29007,16842,0.4194,1139.817,77,2,True
balance,150,bramev_event_score,42,42,42,40,4,1440,651.181,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.7851,0.8015,150,0.3331,0.396,1477,1464,1464,0.9912,0.9912,5.234,388.871,2755.92,1823.715,551.298,0.011,3307.23,1973.125,1.0,73.145,1464,884,282,3,282,13,0,0.6038,0.1926,0.002,0.1926,0.6038,0.2015,0.1209,0.0738,174,0.272,7730,6266,0,0,1251,8981,0.1953,0.1114,53691,30712,0.428,2079.432,14,1,True
balance,200,bramev,42,42,42,40,4,1440,1986.58,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.775,0.7925,200,0.3816,1.314,2265,1961,1961,0.8658,0.8658,3.738,4214.919,15276.146,1982.203,2713.341,0.011,17989.497,2191.739,1.0,181.919,1961,1164,382,6,391,16,2,0.5936,0.1948,0.0031,0.1994,0.5941,0.203,0.1224,0.0806,234,0.525,8466,6505,0,0,5072,13538,0.2569,0.1441,71202,39808,0.4409,2775.781,22,1,True
balance,200,bramev_nearest_offer,42,42,42,40,4,1440,1983.366,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.7489,0.7759,200,0.3843,7.338,2194,1980,1980,0.9025,0.9025,3.853,4182.335,15154.332,1842.697,2685.077,0.011,17839.421,1982.935,1.0,189.16,1980,1181,383,27,371,18,0,0.5965,0.1934,0.0136,0.1874,0.5965,0.2025,0.1217,0.0793,214,1.861,8454,6474,0,2,4489,12943,0.258,0.1457,70488,39704,0.4367,2750.133,23,0,True
balance,200,bramev_fixed_alpha,42,42,42,40,4,1440,1991.483,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.7733,0.7905,200,0.3868,1.296,2337,1971,1971,0.8434,0.8434,3.576,4209.354,15212.129,1931.53,2698.581,0.011,17910.721,2056.245,1.0,178.767,1971,1168,385,7,392,16,3,0.5926,0.1953,0.0036,0.1989,0.5941,0.2035,0.1218,0.0807,233,0.488,8357,6386,0,0,5549,13906,0.2586,0.1445,71579,40043,0.4406,2783.132,22,1,True
balance,200,bramev_global_rep,42,42,42,40,4,1440,2359.551,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.5054,0.5174,200,0.2996,0.558,10985,1128,1128,0.1027,0.1027,0.613,7189.547,26895.274,2803.786,4634.954,0.016,31530.244,3060.595,1.0,106.225,1128,671,230,2,222,2,1,0.5949,0.2039,0.0018,0.1968,0.5957,0.2057,0.1223,0.0762,136,0.29,6733,5605,0,0,56486,63219,0.1452,0.0813,39698,22207,0.4406,1576.952,103,1,True
balance,200,bramev_event_score,42,42,42,40,4,1440,2065.162,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.7781,0.7959,200,0.3424,1.446,1989,1972,1972,0.9915,0.9915,5.235,4187.452,15496.068,2257.121,2683.751,0.011,18179.83,2406.296,1.0,205.755,1972,1171,382,9,388,19,3,0.5938,0.1937,0.0046,0.1968,0.5948,0.2033,0.1217,0.0801,230,0.498,10412,8440,0,1,1703,12115,0.259,0.1449,71928,40198,0.4411,2793.125,20,1,True
balance,250,bramev,42,42,42,40,4,1440,4861.792,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.7809,0.8003,250,0.4015,1.824,2718,2435,2435,0.8959,0.8959,3.89,10530.586,49975.46,2277.589,5459.962,0.01,55435.433,2532.285,1.0,338.954,2435,1457,469,20,467,20,2,0.5984,0.1926,0.0082,0.1918,0.5992,0.2008,0.1191,0.0809,270,0.648,10573,8138,0,1,5758,16331,0.3209,0.1808,88588,50142,0.434,3461.132,24,1,True
